"code","value"
"🔄","71,818"
"🕹️","71,671"
"🫃","71,418"
"5️⃣","71,283"
"🍞","71,194"
"🐛","71,107"
"📓","71,099"
"🥉","71,028"
"🔬","70,900"
"🫰🏻","70,388"
"🕵️","70,385"
"💄","69,821"
"🏗️","69,354"
"🥛","69,310"
"🪶","69,045"
"🎹","68,996"
"👆","68,963"
"🪼","68,950"
"👗","68,619"
"🗒️","68,461"
"🧼","68,252"
"🙏🏼","68,251"
"🇻🇳","68,234"
"☢️","67,731"
"🏷️","67,699"
"🇩🇰","67,278"
"🐷","67,161"
"🥸","66,694"
"📻","66,600"
"🇵🇰","66,593"
"💿","66,563"
"™️","66,296"
"🙋","66,248"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","66,160"
"🥧","66,157"
"🐄","66,114"
"⚓","66,097"
"🇧🇪","65,631"
"🔓","65,361"
"🎖️","65,197"
"📃","64,917"
"👓","64,843"
"🫐","64,792"
"🔐","64,741"
"🌚","64,681"
"🇭🇺","64,432"
"🪴","64,317"
"🎩","64,317"
"🛜","64,133"
"👷","63,809"
"🛫","63,399"
"🇮🇪","63,254"
"💢","63,190"
"👇🏻","63,150"
"🥪","63,113"
"🩰","62,899"
"👂","62,754"
"🇷🇴","62,637"
"🏃‍♀️","62,614"
"⭕","62,540"
"🇸🇬","62,519"
"🧋","62,334"
"✊","62,185"
"🪵","62,159"
"🛸","62,004"
"🐦‍⬛","61,912"
"🔜","61,910"
"🤐","61,830"
"🐀","61,793"
"🤦‍♂️","61,735"
"☄️","61,691"
"⚰️","61,675"
"⛳","61,389"
"😣","61,381"
"🔁","61,350"
"👿","61,143"
"👋🏻","61,102"
"🏐","60,862"
"🐯","60,635"
"🩹","60,611"
"👨‍💻","60,415"
"👨","60,193"
"🏋️","60,121"
"🎣","60,112"
"🪻","60,080"
"🌾","60,029"
"♿","59,987"
"🧨","59,922"
"🚽","59,866"
"😺","59,654"
"🧢","59,645"
"🍼","59,530"
"🌡️","59,458"
"👸","59,275"
"♠️","58,901"
"🇲🇦","58,870"
"🦸","58,747"
"🚘","58,699"
"🏦","58,696"
"🌽","58,687"
"🤧","58,619"
"👉🏼","58,465"
"👙","58,436"
"🪑","58,346"
"🕶️","58,243"
"🐘","58,237"
"😶","58,208"
"⛏️","58,195"
"👧","58,104"
"😯","58,067"
"🇦🇹","57,722"
"😿","57,460"
"🍨","57,344"
"🦠","57,338"
"🌃","57,315"
"⛓️","57,212"
"🥭","57,171"
"🧑‍💻","57,111"
"🇨🇿","57,108"
"👺","57,081"
"⬛","57,028"
"🔌","56,871"
"📒","56,871"
"🐊","56,519"
"🌵","56,359"
"🌪️","56,358"
"📏","56,170"
"🎗️","55,954"
"🇳🇴","55,874"
"🍣","55,849"
"👨‍🍳","55,805"
"🌭","55,287"
"🥞","55,184"
"♂️","54,684"
"⬜","54,281"
"🏨","53,992"
"🐬","53,983"
"🪪","53,946"
"🦀","53,877"
"🥥","53,872"
"🧛","53,630"
"💪🏼","53,577"
"🛋️","53,544"
"⛪","53,467"
"🎅🏻","53,218"
"🦜","53,193"
"🏙️","53,184"
"🙏🏽","53,074"
"⛵","53,039"
"🦍","52,783"
"🦾","52,748"
"🥃","52,717"
"☂️","52,567"
"📗","52,564"
"🕒","52,487"
"🚆","52,324"
"🥘","51,940"
"🆘","51,913"
"🍍","51,786"
"🌓","51,687"
"🎼","51,628"
"🤳","51,358"
"🕰️","51,194"
"🤒","51,187"
"🚂","51,183"
"📎","51,142"
"👇🏼","51,108"
"🏞️","50,863"
"🥦","50,804"
"⛄","50,655"
"🥔","50,590"
"🪓","50,389"
"🇫🇮","50,144"
"🇸🇦","50,128"
"🏕️","50,097"
"📥","50,021"
"🐙","49,798"
"🐑","49,752"
"📨","49,582"
"🥑","49,091"
"😸","48,623"
"🗞️","48,502"
"🖋️","48,415"
"🌬️","48,374"
"🧾","48,279"
"🧃","48,137"
"🤝🏻","48,108"
"📑","48,042"
"❎","48,037"
"🤕","47,910"
"🛞","47,864"
"🚶","47,857"
"🧺","47,822"
"🙏🏾","47,800"
"⛓️‍💥","47,743"
"💶","47,718"
"🇿🇦","47,712"
"🦢","47,698"
"🥋","47,695"
"🛐","47,688"
"♟️","47,647"
"🤰","47,585"
"🥬","47,531"
"💾","47,449"
"🥾","47,366"
"👦","47,296"
"👔","47,196"
"😪","46,892"
"🏒","46,881"
"🙇","46,826"
"⏲️","46,810"
"🥖","46,615"
"🧶","46,411"
"🚿","46,323"
"📿","45,951"
"🪈","45,883"
"🛣️","45,844"
"🐞","45,570"
"🐋","45,565"
"🏊","45,522"
"🗝️","45,337"
"🗨️","45,326"
"🧍","45,275"
"☔","45,121"
"🐆","44,917"
"👩‍💻","44,906"
"🧘‍♀️","44,887"
"🚜","44,794"
"6️⃣","44,772"
"😙","44,684"
"🐴","44,625"
"🖱️","44,605"
"🛬","44,514"
"🎪","44,501"
"🫴","44,488"
"🇻🇦","44,460"
"👍🏼","44,456"
"✍🏻","44,422"
"🔺","44,301"
"🧰","44,220"
"⛽","44,154"
"🔻","44,134"
"🌋","44,082"
"🚑","43,934"
"🧙","43,783"
"💮","43,730"
"🧧","43,577"
"🌇","43,498"
"🎻","43,479"
"⛩️","43,461"
"🫥","43,362"
"🤲","43,303"
"👜","43,294"
"📬","43,196"
"🇻🇪","42,981"
"🧒","42,896"
"🔰","42,885"
"🦦","42,829"
"👼","42,727"
"🟧","42,658"
"🇭🇷","42,455"
"🇳🇿","42,410"
"©️","42,328"
"⚒️","42,248"
"🐲","42,221"
"🙊","42,125"
"🐠","41,930"
"🧮","41,893"
"👩‍⚕️","41,784"
"🇪🇬","41,755"
"🇩🇴","41,747"
"🐮","41,632"
"🦐","41,626"
"🚙","41,550"
"🫵🏼","41,493"
"😗","41,484"
"🍖","41,464"
"👴","41,388"
"🥷🏿","41,370"
"🙀","41,362"
"🛎️","41,308"
"🙋‍♀️","41,142"
"🦎","41,010"
"🚴","41,000"
"👩‍🏫","40,896"
"😧","40,755"
"🏭","40,732"
"🥣","40,694"
"🪡","40,676"
"👏🏻","40,665"
"🐿️","40,551"
"🥒","40,516"
"🦭","40,448"
"🎱","40,435"
"🏔️","40,422"
"💟","40,242"
"🅰️","40,043"
"🧌","39,844"
"👠","39,769"
"🎺","39,717"
"⛈️","39,715"
"🛥️","39,698"
"🇭🇰","39,595"
"🗂️","39,419"
"☮️","39,278"
"🔷","39,273"
"🦝","39,167"
"🫟","39,115"
"🦚","39,049"
"👨‍⚕️","39,032"
"♦️","39,029"
"⛷️","39,016"
"🦩","39,000"
"🫖","38,961"
"😽","38,940"
"🫏","38,891"
"☯️","38,676"
"🧑‍🏫","38,605"
"💃🏻","38,495"
"🥜","38,431"
"🙋‍♂️","38,353"
"👋🏼","38,333"
"😾","38,317"
"🇷🇸","38,306"
"🎡","38,076"
"7️⃣","38,046"
"🟪","38,033"
"🦘","37,986"
"♨️","37,986"
"🅱️","37,969"
"👖","37,965"
"⌨️","37,812"
"🦶","37,776"
"🖕🏻","37,663"
"🩴","37,625"
"🚓","37,473"
"🍚","37,412"
"🤸","37,050"
"💈","36,934"
"🐥","36,794"
"🏃‍♂️","36,759"
"🪭","36,701"
"🙌🏻","36,679"
"🧑","36,667"
"🚦","36,661"
"👨🏿","36,613"
"🪁","36,536"
"🐌","36,463"
"⛅","36,407"
"✒️","36,322"
"🧑‍🤝‍🧑","36,188"
"🏳️","36,121"
"🔦","36,096"
"📐","36,017"
"®️","35,996"
"🎢","35,951"
"🏏","35,935"
"💅🏻","35,922"
"📂","35,911"
"🪢","35,908"
"🌝","35,905"
"🔛","35,857"
"🎷","35,852"
"🆓","35,729"
"❇️","35,630"
"🧦","35,591"
"🧚","35,564"
"🔖","35,400"
"🗃️","35,397"
"🐤","35,306"
"🫆","35,220"
"🍋‍🟩","35,207"
"🐖","35,155"
"🛵","35,117"
"💠","35,056"
"🫘","35,010"
"🥷🏻","34,879"
"🔇","34,846"
"🪟","34,572"
"🧑‍🎓","34,448"
"🪂","34,392"
"🐅","34,386"
"🥟","34,325"
"🧴","34,222"
