"code","value"
"🙋‍♂️","1,715"
"🙂‍↔️","1,714"
"🚮","1,713"
"😼","1,709"
"🪟","1,703"
"⛓️","1,703"
"🦀","1,697"
"⛓️‍💥","1,695"
"🚽","1,684"
"🥃","1,682"
"🐷","1,669"
"🪡","1,666"
"🇸🇦","1,666"
"😯","1,665"
"🙊","1,656"
"🌃","1,656"
"🙋‍♀️","1,652"
"🐋","1,650"
"🖕🏻","1,648"
"⏸️","1,647"
"🤲","1,646"
"🏐","1,639"
"🧛","1,638"
"🧍","1,636"
"🇿🇦","1,634"
"🪻","1,632"
"🐞","1,631"
"🐴","1,630"
"🔇","1,629"
"💮","1,629"
"🇱🇺","1,627"
"🛣️","1,623"
"💠","1,622"
"🤕","1,620"
"🔙","1,618"
"🌖","1,617"
"🥬","1,615"
"🚁","1,615"
"🖨️","1,613"
"🗼","1,612"
"🐯","1,609"
"🧑‍💼","1,605"
"🏟️","1,600"
"🔰","1,592"
"🧽","1,588"
"👇🏼","1,586"
"🏊","1,583"
"❣️","1,581"
"🎣","1,579"
"➖","1,579"
"🔖","1,577"
"🫏","1,565"
"🦔","1,564"
"😖","1,558"
"👇🏻","1,555"
"🏄","1,545"
"🌮","1,544"
"😺","1,540"
"🐦‍⬛","1,537"
"⌨️","1,535"
"🩹","1,533"
"🦍","1,532"
"🐲","1,527"
"👿","1,525"
"🐠","1,524"
"⬜","1,521"
"👦","1,517"
"🚅","1,512"
"🦝","1,510"
"🔷","1,507"
"🚇","1,500"
"✝️","1,496"
"🧑‍🏫","1,494"
"⛺","1,493"
"🎅🏻","1,487"
"🇬🇵","1,480"
"⏩","1,476"
"🏳️","1,474"
"⛳","1,474"
"🫒","1,468"
"🦐","1,468"
"🧦","1,464"
"🇭🇷","1,464"
"📮","1,462"
"🇮🇩","1,457"
"👠","1,449"
"🔘","1,448"
"🫖","1,445"
"⛽","1,444"
"🔦","1,442"
"🟪","1,439"
"🧴","1,437"
"🥣","1,437"
"🥑","1,437"
"🤏","1,434"
"🚕","1,432"
"🤝🏻","1,430"
"🍍","1,427"
"🖍️","1,426"
"👩‍🏫","1,418"
"🔉","1,409"
"🛼","1,408"
"🐌","1,406"
"🇱🇧","1,405"
"🌇","1,403"
"✖️","1,400"
"🔺","1,396"
"⏭️","1,395"
"🟰","1,393"
"™️","1,384"
"⬛","1,383"
"🥧","1,382"
"♨️","1,377"
"↘️","1,374"
"🕒","1,370"
"🌽","1,366"
"👼","1,362"
"🏜️","1,356"
"♦️","1,356"
"🧋","1,352"
"👨‍💼","1,351"
"🧑","1,349"
"👫","1,349"
"🐖","1,349"
"🌭","1,347"
"🚦","1,345"
"✍🏻","1,341"
"🇮🇷","1,340"
"🏺","1,338"
"🔆","1,337"
"📼","1,337"
"↪️","1,337"
"🫃","1,335"
"🍖","1,335"
"🤞🏻","1,330"
"🎱","1,330"
"🚰","1,329"
"⛄","1,324"
"🚓","1,321"
"🚐","1,321"
"🅿️","1,317"
"🇲🇬","1,316"
"🇷🇸","1,315"
"💢","1,313"
"🪸","1,310"
"🪢","1,306"
"🆗","1,306"
"🇲🇨","1,305"
"😪","1,299"
"😸","1,297"
"⛅","1,297"
"👨‍🎓","1,294"
"7️⃣","1,293"
"👐","1,290"
"🇦🇱","1,288"
"🚢","1,286"
"🛹","1,283"
"⚗️","1,277"
"🇳🇿","1,267"
"🚙","1,264"
"🏓","1,263"
"🫥","1,262"
"🪧","1,259"
"🫤","1,257"
"🪛","1,252"
"🤸","1,252"
"👖","1,252"
"🧲","1,250"
"👩‍🍳","1,249"
"😣","1,248"
"🏪","1,247"
"🇦🇲","1,246"
"❎","1,243"
"👨‍🏫","1,242"
"👋🏼","1,236"
"🤦‍♀️","1,235"
"🙏🏽","1,232"
"🤺","1,217"
"🥭","1,216"
"👛","1,216"
"🏃‍♂️","1,212"
