"code","value"
"🤳","185"
"♿","185"
"🦘","183"
"📡","183"
"📔","183"
"⚓","183"
"🤦‍♂️","182"
"🐌","182"
"🌄","182"
"🙇🏻‍♂️","181"
"📂","181"
"👨‍🍳","180"
"🧍","179"
"🎑","179"
"🇰🇭","179"
"🤲","178"
"🎻","178"
"🎏","178"
"🪏","177"
"🦥","177"
"🌉","177"
"🇵🇪","177"
"🇧🇪","177"
"🅱️","177"
"🧾","176"
"🎅🏻","176"
"🇱🇰","176"
"⏲️","176"
"🪜","175"
"🐡","175"
"🩹","174"
"📮","174"
"🌨️","174"
"⛈️","174"
"🚑","173"
"🚉","173"
"🖕🏻","173"
"🐭","173"
"🇦🇹","173"
"✍🏻","173"
"🗨️","172"
"👷","172"
"🆖","172"
"🪂","171"
