"code","value"
"🧮","1,870"
"🌏","1,868"
"🔖","1,866"
"🍵","1,864"
"™️","1,864"
"📐","1,860"
"🅰️","1,853"
"😖","1,848"
"🍦","1,848"
"👃","1,842"
"🇬🇷","1,838"
"🧺","1,829"
"🙌🏻","1,828"
"👨‍⚖️","1,827"
"🤴","1,816"
"🌓","1,816"
"👉🏼","1,813"
"🇸🇪","1,813"
"🧑‍⚕️","1,812"
"✊🏿","1,806"
"🛬","1,798"
"✒️","1,795"
"🪒","1,791"
"👨‍👩‍👧","1,790"
"🙏🏽","1,787"
"🌭","1,786"
"🇨","1,785"
"🥦","1,784"
"🥭","1,780"
"👧🏻","1,777"
"🇧🇴","1,776"
"🤟","1,770"
"🚓","1,763"
"☮️","1,761"
"🤌🏽","1,755"
"🐅","1,754"
"🕐","1,751"
"💪🏽","1,751"
"🍮","1,751"
"🧽","1,749"
"👇🏽","1,749"
"🏴󠁧󠁢󠁳󠁣󠁴󠁿","1,745"
"🏋🏻‍♀️","1,742"
"📔","1,739"
"🥐","1,736"
"🇸🇦","1,730"
"🦶","1,729"
"🦭","1,729"
"🦐","1,729"
"👸🏻","1,727"
"🫘","1,724"
"🚙","1,714"
"📬","1,713"
"👠","1,708"
"🎅🏻","1,705"
"🪴","1,703"
"🖐️","1,703"
"🕒","1,698"
"💮","1,691"
"🐿️","1,690"
"🐑","1,684"
"💠","1,682"
"🪗","1,681"
"🎌","1,678"
"🔦","1,666"
"⛱️","1,665"
"🪥","1,660"
"🆒","1,658"
"🥣","1,657"
"🐜","1,653"
"⏲️","1,636"
"🪲","1,635"
"🪟","1,635"
"💟","1,633"
"👩🏻‍💻","1,630"
"🪣","1,627"
"👍🏼","1,620"
"🌚","1,619"
"⭕","1,613"
"🫰🏼","1,611"
"🦩","1,608"
"🐥","1,607"
"☣️","1,597"
"🧨","1,590"
"🌤️","1,590"
"🧑‍💼","1,589"
"🤦","1,586"
"🦑","1,585"
"🤷","1,585"
"🖕🏼","1,585"
"😿","1,584"
"🛎️","1,582"
"💅🏼","1,575"
"🇳","1,572"
"🦧","1,571"
"🥪","1,562"
"🦗","1,552"
"🤧","1,551"
"🔷","1,551"
"🥑","1,548"
"🤦‍♀️","1,536"
"😸","1,536"
"🪭","1,528"
"👨‍👩‍👦","1,524"
"🇳🇴","1,524"
"🙅‍♂️","1,523"
